tenure,TotalCharges,SeniorCitizen,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Electronic check,OnlineSecurity_Yes,PaperlessBilling,Churn
1,74.7,1,0,0,1,0,1,0,0,0
66,5714.25,0,0,1,0,0,0,1,1,0
65,7107.0,0,0,0,1,0,0,1,1,0
72,7459.05,0,0,1,1,0,0,0,1,0
12,927.35,0,0,0,1,0,1,1,1,1
71,4748.7,0,1,0,0,0,0,1,1,0
5,113.85,0,0,0,0,1,0,0,0,1
52,1107.2,0,0,1,0,1,0,0,0,0
25,2514.5,1,0,0,1,0,1,0,1,1
1,20.2,0,0,0,0,1,0,0,0,0
1,19.45,0,0,0,0,1,1,0,0,0
38,3605.6,0,1,0,1,0,0,0,0,0
66,3027.25,1,1,0,0,0,0,0,0,0
68,7611.85,0,0,1,1,0,0,0,1,1
5,100.2,0,0,0,0,0,0,0,0,0
72,7303.05,0,1,0,1,0,1,1,1,0
32,927.65,0,1,0,0,0,0,1,0,0
43,3921.3,0,1,0,1,0,0,0,0,0
72,1363.25,0,0,1,0,1,0,0,0,0
55,5238.9,0,0,0,1,0,1,1,1,1
52,3042.25,0,1,0,0,0,0,1,0,0
43,3954.1,0,0,0,1,0,1,0,1,0
37,2868.15,1,0,0,1,0,1,0,1,1
64,3423.5,0,0,1,0,0,1,0,1,0
3,248.4,0,0,0,1,0,1,1,0,0
36,1126.35,0,0,1,0,0,0,1,0,0
10,1064.65,0,0,0,1,0,1,1,1,1
41,835.15,0,0,1,0,1,0,0,0,0
27,2151.6,0,0,0,1,0,0,0,1,0
56,5515.45,0,1,0,1,0,0,0,1,0
6,112.75,0,0,0,0,1,0,0,0,0
3,229.55,0,0,0,1,0,1,0,1,1
7,350.35,0,0,0,0,0,0,1,0,0
4,62.9,0,0,0,0,1,0,0,0,0
33,3027.65,0,0,1,1,0,1,1,1,0
27,2135.5,1,0,0,1,0,1,0,1,1
72,1723.95,0,0,1,0,1,0,0,1,0
1,19.75,0,0,0,0,1,0,0,0,0
71,3985.35,1,1,0,0,0,1,1,1,0
13,1215.65,0,0,0,1,0,1,0,1,0
25,1502.65,0,0,0,0,0,0,1,1,1
67,3260.1,0,0,1,0,0,0,0,0,0
1,35.45,0,0,0,0,0,1,0,1,1
2,81.25,0,0,0,0,0,1,0,0,1
43,1188.2,0,0,1,0,1,0,0,1,0
23,1778.5,0,0,0,1,0,0,1,1,0
64,1277.75,0,0,1,0,1,0,0,0,0
57,1170.55,0,0,1,0,1,0,0,1,0
1,70.45,1,0,0,1,0,0,0,1,1
72,6425.65,1,0,1,0,0,0,1,1,0
8,563.65,0,0,0,0,0,1,1,0,1
61,5971.25,0,0,1,1,0,0,0,1,0
64,5289.05,0,1,0,1,0,0,1,1,0
71,1756.2,1,0,1,0,1,0,0,0,0
65,6416.7,0,0,1,1,0,0,1,1,0
3,61.35,0,1,0,0,1,0,0,0,0
1,45.65,0,0,0,0,0,1,0,1,1
30,1929.95,0,1,0,0,0,0,0,0,0
15,1071.4,0,0,0,0,0,0,0,1,0
8,564.35,0,0,0,0,0,1,0,1,0
7,655.5,0,0,0,1,0,0,0,0,1
70,7930.55,0,1,0,1,0,0,1,1,0
62,5215.25,0,0,1,0,0,1,1,0,0
6,113.5,0,0,0,0,1,0,0,0,0
14,1152.8,0,0,0,1,0,0,0,1,0
22,1821.95,0,0,0,1,0,0,0,1,0
22,419.9,0,1,0,0,1,0,0,0,0
16,1024.0,0,0,1,0,0,0,1,0,0
10,251.6,0,0,1,0,1,0,0,0,0
13,764.55,0,0,0,0,0,1,1,1,0
20,1592.35,0,0,0,1,0,1,1,0,1
2,135.2,0,0,0,1,0,1,0,1,0
53,3958.25,0,0,1,0,0,0,0,1,0
11,233.9,0,1,0,0,1,0,0,0,0
69,1363.45,0,0,1,0,1,0,0,0,0
4,273.0,0,0,0,1,0,0,0,1,1
72,6254.45,0,0,1,0,0,0,1,1,0
58,2651.2,1,0,0,0,0,1,0,1,1
16,321.4,0,0,0,0,1,1,0,0,0
43,3539.25,0,1,0,1,0,0,1,1,0
2,242.8,0,0,0,1,0,1,0,1,1
14,1181.75,0,0,1,0,0,0,0,0,0
53,5000.2,0,1,0,1,0,0,0,1,1
32,654.55,0,1,0,0,1,0,0,0,0
34,780.2,0,0,0,0,1,1,0,0,0
15,1145.7,1,0,0,1,0,0,0,1,1
7,503.6,1,0,0,1,0,0,1,0,1
15,1559.25,0,0,0,1,0,0,0,1,0
61,1252.0,0,1,0,0,1,0,0,1,0
1,29.95,0,0,0,0,0,0,0,0,1
1,45.3,0,0,0,0,0,0,0,0,0
8,662.65,0,0,0,1,0,0,0,0,1
33,2453.3,0,1,0,0,0,0,1,0,0
13,1111.65,0,0,0,1,0,1,0,1,1
1,24.8,0,0,0,0,0,1,0,1,1
20,1023.85,0,0,0,0,0,0,0,1,0
3,82.15,0,0,0,0,0,1,0,0,0
13,244.8,0,1,0,0,1,1,0,0,0
40,2379.1,0,0,0,0,0,0,0,0,0
43,3173.35,0,1,0,0,0,0,1,1,0
6,531.0,0,0,0,1,0,1,0,1,1
69,1375.4,0,0,1,0,1,0,0,0,0
72,8129.3,0,0,1,1,0,0,1,0,0
59,1192.7,0,0,1,0,1,0,0,0,0
20,1901.65,0,0,0,1,0,1,1,1,0
24,587.4,0,0,1,0,1,0,0,1,0
59,6519.75,0,0,0,1,0,1,0,1,0
72,8041.65,0,0,1,1,0,0,0,1,0
1,20.75,0,0,0,0,1,0,0,0,0
27,2681.15,0,1,0,1,0,0,1,1,0
14,1112.3,0,0,0,1,0,0,0,1,0
71,7405.5,0,0,1,1,0,1,1,0,0
13,1033.95,0,0,0,1,0,0,0,1,0
44,2958.95,0,0,0,1,0,0,0,0,0
33,2684.85,0,1,0,1,0,0,0,1,0
72,4179.2,0,0,1,0,0,0,1,1,0
1,79.9,0,0,0,1,0,1,0,0,1
19,1934.45,0,0,0,1,0,1,1,1,1
64,6654.1,0,1,0,1,0,0,0,1,0
2,84.5,0,0,0,0,0,0,0,1,1
1,25.25,0,0,0,0,0,1,0,0,0
61,1124.2,0,0,1,0,1,0,0,0,0
29,540.05,0,1,0,0,1,1,0,0,0
23,1975.85,1,0,0,1,0,1,0,0,0
57,3437.45,0,0,0,0,0,0,1,1,0
72,3139.8,0,0,1,0,0,0,1,0,0
66,3789.2,0,0,1,0,0,0,1,1,0
65,5324.5,0,0,1,0,0,0,0,1,0
8,624.6,0,0,0,1,0,0,0,1,0
4,268.35,0,0,0,1,0,1,0,1,1
71,1836.9,0,0,1,0,1,0,0,0,0
1,20.2,0,1,0,0,1,1,0,1,0
4,179.35,0,0,0,0,0,0,0,0,1
12,219.35,0,1,0,0,1,0,0,1,0
24,1288.75,0,1,0,0,0,0,1,1,0
31,2545.75,0,1,0,0,0,0,1,1,0
1,55.2,0,0,0,0,0,0,0,0,1
30,2723.15,0,0,0,1,0,0,0,1,0
47,4107.25,0,0,1,0,0,0,1,1,0
54,5760.65,0,0,1,1,0,0,1,1,0
50,4747.5,0,0,0,1,0,0,1,1,0
1,84.6,0,0,0,1,0,0,1,1,1
72,1566.9,0,0,1,0,1,0,0,0,0
29,702.0,0,0,0,0,1,1,0,0,0
2,114.1,0,0,0,0,0,0,0,1,1
10,299.05,0,0,1,0,0,0,0,1,0
18,1305.95,0,0,0,1,0,1,0,1,0
11,1120.3,1,0,0,1,0,1,0,1,1
16,284.35,0,0,1,0,1,0,0,0,0
72,6350.5,0,0,1,0,0,0,0,0,0
72,7878.3,0,0,1,1,0,0,0,0,0
41,3187.65,0,1,0,0,0,0,1,1,0
65,6126.15,1,0,0,1,0,1,1,0,0
13,731.3,1,0,0,0,0,1,0,1,0
4,273.4,1,0,0,1,0,1,1,0,0
41,2531.8,0,1,0,0,0,0,0,0,0
15,1074.3,1,0,0,1,0,1,0,1,1
1,48.55,0,0,0,0,0,0,1,1,1
42,4298.45,0,1,0,1,0,1,1,1,0
51,4619.55,0,1,0,1,0,1,1,1,0
2,147.15,0,0,0,1,0,1,0,0,1
1,40.2,1,0,0,0,0,1,0,0,1
32,2633.3,0,1,0,0,0,0,0,0,0
10,193.05,0,0,0,0,1,0,0,1,0
67,4103.9,0,0,1,0,0,1,0,1,0
61,7008.15,0,0,1,1,0,0,1,0,0
50,5791.1,0,1,0,1,0,0,1,0,0
2,80.55,0,0,0,0,0,0,0,1,1
29,1228.65,1,0,0,0,0,1,1,1,0
3,132.2,1,0,0,0,0,1,0,1,1
13,1364.3,1,0,0,1,0,1,0,1,1
57,4925.35,1,0,0,1,0,1,0,1,0
31,1520.1,0,0,1,0,0,0,1,1,0
45,5032.25,0,1,0,1,0,0,1,0,0
61,5526.75,0,0,1,0,0,0,1,0,0
50,1195.25,0,0,1,0,1,0,0,0,0
19,2007.25,1,0,0,1,0,0,1,1,0
59,1099.6,0,0,1,0,1,0,0,0,1
71,1732.95,0,0,1,0,1,0,0,1,0
16,1511.2,1,0,0,1,0,1,0,1,1
57,3450.15,0,0,1,0,0,1,1,1,0
1,24.8,0,0,0,0,0,0,0,0,1
20,2172.05,1,0,0,1,0,1,0,0,0
1,70.6,0,0,0,1,0,0,0,0,1
5,401.1,0,0,0,1,0,1,0,1,1
52,5624.85,0,0,0,1,0,1,0,1,1
21,1339.8,1,0,0,0,0,0,1,1,0
14,771.95,0,0,0,0,0,1,0,1,0
5,244.75,0,0,0,0,0,0,0,0,0
6,322.9,0,0,0,0,0,0,1,0,0
10,498.25,0,0,0,0,0,1,0,0,0
1,25.4,0,0,0,0,1,0,0,0,0
68,3687.75,0,0,0,0,0,0,1,0,0
18,1779.95,0,0,0,1,0,0,0,0,1
22,1783.6,0,1,0,1,0,0,0,1,0
20,927.15,0,0,0,0,0,1,0,1,0
1,70.0,0,0,0,1,0,1,0,0,1
8,606.55,1,0,0,1,0,1,0,1,1
10,435.4,0,0,0,0,0,0,0,1,1
24,1712.7,1,0,0,1,0,1,0,1,1
35,2021.2,0,1,0,0,0,0,1,0,0
23,1940.8,0,1,0,1,0,0,0,0,0
6,567.8,1,0,0,1,0,1,0,1,0
12,220.35,0,0,0,0,1,0,0,0,0
1,20.25,0,0,0,0,1,0,0,0,0
71,5436.45,0,0,1,1,0,1,0,0,0
35,3437.5,1,0,0,1,0,1,0,1,0
40,3015.75,0,0,0,0,0,1,0,1,0
1,73.6,0,0,0,1,0,0,1,1,1
23,1509.8,0,1,0,0,0,0,0,1,0
4,396.1,1,0,0,1,0,1,0,1,1
4,356.65,0,0,0,1,0,1,0,1,0
68,4109.0,0,0,1,0,0,0,0,0,0
38,3141.7,0,0,0,1,0,0,0,1,0
52,1229.1,0,0,1,0,1,0,0,0,0
32,2303.35,1,0,0,1,0,1,0,1,1
29,2054.4,0,0,1,0,0,0,0,0,0
38,3741.85,1,0,0,1,0,1,0,0,0
48,3682.45,0,1,0,0,0,0,1,1,0
1,19.25,0,0,0,0,1,0,0,1,0
22,1886.25,0,0,0,1,0,1,1,1,0
43,4895.1,0,0,1,1,0,0,1,0,0
5,341.6,1,0,0,1,0,1,0,1,0
5,415.55,0,0,0,1,0,1,0,1,1
51,5686.4,0,1,0,1,0,0,1,0,0
71,1355.1,0,0,1,0,1,0,0,1,0
38,3058.65,0,1,0,0,0,0,1,0,1
24,2231.05,1,0,0,1,0,1,0,1,1
35,3236.35,0,0,0,1,0,0,0,1,0
54,4350.1,1,1,0,0,0,0,1,0,1
72,4264.0,0,0,1,0,0,1,0,1,0
1,44.8,0,0,0,0,0,1,0,1,0
9,422.3,0,1,0,0,0,0,1,0,0
69,4176.7,0,0,1,0,0,0,1,1,0
52,5138.1,0,0,0,1,0,0,0,1,0
11,880.05,1,0,0,1,0,1,0,1,0
2,139.05,1,0,0,1,0,1,0,1,1
28,973.65,1,0,0,0,0,1,0,1,0
17,1470.05,1,0,0,1,0,0,0,1,0
35,739.35,0,0,1,0,1,0,0,1,0
8,161.95,0,1,0,0,1,0,0,1,0
46,4422.95,0,1,0,1,0,0,0,1,0
7,511.25,0,0,0,1,0,1,0,1,1
2,155.8,0,0,0,1,0,0,0,0,1
68,5293.95,0,1,0,0,0,0,0,1,1
43,4759.85,0,0,1,1,0,1,0,1,1
68,6148.45,0,0,1,0,0,1,1,1,0
36,3565.65,0,0,0,1,0,0,0,1,0
63,6603.0,0,0,0,1,0,1,0,1,1
32,1830.1,1,0,0,0,0,0,0,0,0
71,6223.8,0,0,1,0,0,0,1,0,0
66,4508.65,0,0,0,0,0,0,1,1,0
63,1328.15,0,1,0,0,1,0,0,0,0
41,865.0,0,1,0,0,1,0,0,1,0
1,72.1,1,0,0,1,0,1,0,1,0
2,168.2,0,0,0,1,0,1,0,1,1
70,1303.5,0,0,1,0,1,0,0,0,0
23,996.85,0,0,0,0,0,1,0,1,0
64,6430.9,1,1,0,1,0,0,1,0,0
37,2278.75,0,0,1,0,0,0,1,1,0
17,681.4,0,1,0,0,0,0,0,0,0
7,574.35,1,0,0,1,0,1,0,1,0
4,371.9,0,0,0,1,0,0,0,1,1
21,840.1,1,0,0,0,0,1,1,1,1
10,846.0,0,0,0,1,0,0,0,1,1
16,889.0,1,0,0,0,0,1,1,1,0
64,6823.4,0,0,1,1,0,1,0,1,0
27,805.1,1,0,0,0,0,0,1,0,1
42,4016.75,0,1,0,1,0,1,1,0,0
5,83.75,0,0,0,0,1,0,0,0,0
41,3959.15,0,0,1,1,0,0,0,1,0
58,2878.55,0,1,0,0,0,0,0,0,0
47,945.7,0,0,1,0,1,0,0,1,0
18,1373.05,0,0,0,1,0,0,0,1,0
5,492.55,0,0,0,1,0,0,0,0,1
23,1406.0,0,0,0,0,0,0,1,1,0
1,19.15,0,0,0,0,1,0,0,0,0
71,6962.85,0,1,0,1,0,0,0,1,0
72,8126.65,0,0,1,1,0,0,1,1,0
33,690.25,0,1,0,0,1,0,0,0,0
2,181.5,0,0,0,1,0,1,0,1,1
24,830.8,0,0,1,0,0,0,1,0,0
56,5608.4,0,1,0,1,0,0,0,1,0
37,3646.8,0,0,0,1,0,0,0,1,0
43,3662.25,0,1,0,0,0,0,0,0,0
1,25.35,0,0,0,0,0,0,0,0,0
25,2566.5,0,0,0,1,0,0,0,1,1
61,5308.7,0,0,1,0,0,1,1,0,0
17,1410.25,0,1,0,1,0,1,0,0,0
41,3339.05,0,1,0,1,0,0,0,1,0
1,50.65,0,0,0,0,0,0,0,0,1
72,4732.35,1,0,1,0,0,0,1,1,0
1,90.85,0,0,0,1,0,0,0,1,1
48,5067.45,0,0,1,1,0,0,0,1,0
11,214.75,1,0,0,0,1,0,0,0,1
55,4874.7,1,0,0,1,0,1,0,1,1
42,2348.45,0,1,0,0,0,1,1,1,0
44,4063.0,0,0,0,1,0,0,0,1,0
1,44.0,0,0,0,0,0,1,0,0,0
27,2595.25,0,0,0,1,0,0,0,1,0
27,2309.55,1,0,0,0,0,0,0,1,0
2,89.3,1,0,0,0,0,1,0,1,0
19,367.55,0,0,0,0,1,0,0,0,0
42,3944.5,1,0,0,1,0,1,0,1,0
66,5965.95,0,0,1,0,0,0,1,1,0
33,3694.7,1,0,0,1,0,0,1,1,0
34,2524.45,0,0,0,1,0,0,0,1,1
33,1803.7,1,0,0,0,0,1,0,1,0
23,415.1,0,1,0,0,1,0,0,0,0
32,624.15,0,1,0,0,1,0,0,0,0
11,237.7,0,1,0,0,1,0,0,0,0
69,7007.6,0,0,0,1,0,0,0,1,1
68,3848.8,0,1,0,0,0,0,1,0,0
20,419.4,0,0,1,0,1,0,0,1,0
72,1468.75,0,0,1,0,1,0,0,1,0
60,5812.0,0,1,0,1,0,0,1,1,0
32,2861.45,1,0,0,1,0,0,0,1,0
1,19.9,0,0,0,0,1,0,0,1,1
1,19.6,0,0,0,0,1,0,0,1,1
3,233.7,1,0,0,1,0,1,0,1,1
46,1066.15,0,1,0,0,1,0,0,1,0
29,2149.05,0,0,0,1,0,1,0,1,0
51,4473.0,0,0,0,1,0,1,0,1,0
48,3545.05,1,0,0,1,0,0,0,1,0
16,1195.75,0,0,0,1,0,0,0,0,0
70,6858.9,0,0,1,1,0,0,0,1,0
40,1024.7,0,0,1,0,1,0,0,1,0
22,1845.9,0,0,0,1,0,1,0,0,1
1,75.3,1,0,0,1,0,0,0,1,1
5,132.25,0,0,0,0,1,0,0,1,0
7,515.45,0,0,0,1,0,0,0,1,0
29,2830.45,0,1,0,1,0,0,0,0,0
44,1110.5,0,1,0,0,1,0,0,0,0
10,449.3,0,0,0,0,0,0,1,0,0
55,2838.55,1,0,0,0,0,0,0,0,0
52,5376.4,1,1,0,1,0,0,0,1,0
10,858.6,0,0,0,1,0,1,0,0,0
18,1395.05,0,0,0,1,0,0,0,1,0
68,3975.7,0,1,0,0,0,0,1,0,0
61,1182.55,0,0,0,0,1,0,0,1,1
72,4784.45,0,0,1,0,0,0,1,1,0
2,119.5,0,0,0,0,0,1,1,0,0
12,518.9,0,0,0,0,0,0,0,1,1
41,899.45,0,0,1,0,1,1,0,1,0
26,1183.8,0,0,0,0,0,0,0,1,0
36,720.05,0,1,0,0,1,0,0,0,0
72,8468.2,0,0,1,1,0,0,1,1,0
35,3161.2,0,0,0,1,0,0,0,1,0
1,55.05,0,0,0,0,0,0,0,0,0
16,1882.55,0,0,0,1,0,1,1,1,0
49,5070.4,1,0,0,1,0,0,1,0,0
54,6049.5,0,1,0,1,0,0,1,1,0
18,1166.7,0,0,0,0,0,1,1,0,0
36,2937.65,0,0,0,1,0,1,0,0,0
60,6396.45,0,0,0,1,0,1,0,1,1
1,69.55,0,0,0,1,0,0,0,0,1
52,1270.25,0,0,1,0,1,0,0,1,0
8,759.55,0,0,0,1,0,1,0,1,0
72,7611.55,0,0,1,1,0,0,1,0,0
64,1642.75,0,1,0,0,1,0,0,0,0
22,1545.4,1,0,0,0,0,0,1,1,0
60,3582.4,0,0,0,0,0,0,0,1,0
28,2227.1,0,0,0,1,0,1,0,1,1
61,1417.9,0,0,1,0,1,0,0,0,0
24,2494.65,0,0,0,1,0,1,0,1,0
28,2768.35,0,1,0,1,0,0,0,0,0
30,2369.3,0,0,1,0,0,0,0,0,0
2,38.0,0,0,0,0,1,0,0,0,0
1,75.1,0,0,0,1,0,1,0,1,0
6,100.9,0,0,0,0,1,0,0,0,0
24,1614.05,0,0,0,0,0,0,0,1,0
4,385.9,0,0,0,1,0,1,0,0,1
7,673.25,0,0,0,1,0,1,0,1,1
72,8404.9,1,0,1,1,0,0,1,1,0
70,2799.75,0,0,1,0,0,0,0,1,0
64,6538.45,1,0,1,1,0,1,0,0,0
72,6588.95,0,1,0,1,0,1,0,1,0
44,868.1,0,0,1,0,1,0,0,0,0
13,734.35,0,0,0,0,0,1,0,0,1
17,330.6,1,1,0,0,1,0,0,0,0
1,55.0,0,0,0,0,0,1,0,1,1
9,564.4,0,0,0,0,0,0,0,1,0
24,1315.35,0,0,0,0,0,0,1,0,0
1,74.7,0,0,0,1,0,1,0,1,1
24,1861.5,0,0,0,1,0,1,0,1,1
35,2747.2,1,0,0,0,0,1,0,1,0
7,554.05,0,0,0,0,0,1,1,1,0
5,453.4,0,0,0,1,0,1,0,1,1
15,994.8,0,0,0,1,0,0,0,0,1
11,225.75,0,0,1,0,1,0,0,0,0
48,2145.0,0,0,0,0,0,0,1,1,1
20,1671.6,1,0,0,1,0,1,0,1,0
72,8003.8,0,1,0,1,0,0,0,1,0
8,680.05,0,0,0,1,0,1,0,1,1
72,6130.85,0,0,1,1,0,0,0,1,0
15,1415.0,0,0,0,1,0,1,0,1,0
72,6201.95,0,0,1,0,0,0,0,1,0
0,0.0,0,0,1,0,0,0,1,1,0
1,74.35,0,0,0,1,0,1,0,1,1
63,6597.25,0,0,1,1,0,0,0,1,0
2,114.15,0,0,0,0,0,1,0,1,0
2,139.4,0,0,0,1,0,1,1,1,1
61,3902.6,1,1,0,0,0,0,0,0,0
1,20.4,0,0,0,0,1,0,0,0,0
22,903.6,0,1,0,0,0,0,0,1,1
28,1785.65,0,0,0,0,0,0,1,0,0
70,1397.65,0,0,1,0,1,0,0,0,0
5,131.05,1,0,0,0,0,1,0,0,1
12,1238.45,0,0,0,1,0,0,1,1,1
34,3899.05,0,1,0,1,0,0,1,0,0
71,5676.0,1,0,1,1,0,0,1,1,0
70,4543.15,0,1,0,0,0,0,1,0,0
52,4326.8,0,0,0,1,0,0,1,1,0
69,5502.55,0,0,1,0,0,0,1,1,0
20,1782.4,1,0,0,1,0,1,0,1,1
11,851.8,0,0,0,1,0,0,0,1,0
2,167.5,0,0,0,1,0,1,0,1,1
6,502.85,0,0,0,1,0,1,0,1,1
1,19.85,0,0,0,0,1,0,0,0,0
20,1818.3,1,1,0,1,0,0,1,0,0
61,6300.15,0,0,0,1,0,1,1,1,0
5,334.8,1,0,0,1,0,1,0,1,1
56,5916.95,0,0,0,1,0,0,0,1,0
30,2852.4,0,0,0,1,0,0,1,1,0
40,4131.95,0,0,0,1,0,0,0,0,1
28,1546.3,0,1,0,0,0,0,1,0,0
5,302.6,1,0,0,1,0,1,0,0,0
27,1929.35,1,0,0,1,0,0,1,1,1
12,265.45,0,0,0,0,1,0,0,0,0
67,6989.45,0,1,0,1,0,1,0,1,0
29,1442.0,1,0,0,0,0,1,0,1,0
55,4713.4,0,0,0,1,0,0,0,0,0
23,1758.6,0,0,0,1,0,0,0,0,1
34,3480.0,0,0,0,1,0,1,0,1,1
52,4738.3,0,1,0,1,0,1,1,0,0
72,8399.15,1,0,1,1,0,0,1,1,0
58,5430.35,0,1,0,1,0,0,0,1,0
35,686.95,0,0,1,0,1,0,0,0,0
56,5706.3,1,0,1,1,0,0,0,1,0
24,490.65,0,0,1,0,1,0,0,1,0
70,1360.25,0,0,1,0,1,0,0,0,0
2,174.45,0,0,0,1,0,1,0,1,0
68,7379.8,1,1,0,1,0,0,0,1,0
1,85.0,0,0,0,1,0,1,0,1,1
12,1021.75,0,0,0,1,0,1,0,1,0
63,5029.05,0,0,0,1,0,0,0,1,0
33,1955.4,0,1,0,0,0,0,1,1,0
69,6744.2,0,1,0,1,0,0,0,1,0
60,4946.7,0,0,1,0,0,0,0,1,0
72,8248.5,0,0,1,1,0,0,1,1,0
11,601.6,0,0,0,0,0,0,0,1,0
1,19.55,0,0,0,0,1,0,0,0,0
10,834.1,0,0,0,1,0,0,0,1,1
13,597.0,0,0,0,0,0,0,1,1,1
34,2647.2,0,1,0,1,0,0,0,1,0
39,3266.0,0,0,0,1,0,0,0,1,1
65,6744.25,0,1,0,1,0,0,0,1,0
50,5265.5,1,1,0,1,0,0,1,1,0
15,311.6,0,0,0,0,1,0,0,0,0
72,7966.9,0,0,1,1,0,0,1,1,0
72,8220.4,0,0,1,1,0,0,1,1,0
55,1153.25,0,0,1,0,1,0,0,0,0
23,514.75,0,0,1,0,1,0,0,1,0
32,2596.15,0,0,0,1,0,0,0,1,1
56,3808.0,0,1,0,0,0,0,1,1,0
1,19.9,0,0,0,0,1,0,0,0,0
38,2708.2,0,1,0,0,0,0,1,0,0
11,760.05,0,0,0,1,0,1,0,0,0
1,49.3,0,0,0,0,0,1,0,1,0
56,6033.3,0,1,0,1,0,1,0,1,0
